A
time in s,CH1
-2.1599996E-07,-6.8527E-02
-2.1574996E-07,1.1473E-02
-2.1549997E-07,1.1473E-02
-2.1524995E-07,-6.8527E-02
-2.1499996E-07,1.1473E-02
-2.1474996E-07,-6.8527E-02
-2.1449996E-07,1.1473E-02
-2.1424997E-07,1.1473E-02
-2.1399995E-07,-6.8527E-02
-2.1374996E-07,-6.8527E-02
-2.1349996E-07,-6.8527E-02
-2.1324996E-07,1.1473E-02
-2.1299996E-07,1.1473E-02
-2.1274997E-07,9.1473E-02
-2.1249996E-07,9.1473E-02
-2.1224996E-07,1.1473E-02
-2.1199996E-07,-6.8527E-02
-2.1174996E-07,1.1473E-02
-2.1149997E-07,-6.8527E-02
-2.1124995E-07,1.1473E-02
-2.1099996E-07,1.1473E-02
-2.1074996E-07,1.1473E-02
-2.1049996E-07,-6.8527E-02
-2.1024996E-07,-6.8527E-02
-2.0999997E-07,1.1473E-02
-2.0974996E-07,1.1473E-02
-2.0949996E-07,1.1473E-02
-2.0924996E-07,-6.8527E-02
-2.0899996E-07,1.1473E-02
-2.0874997E-07,1.1473E-02
-2.0849996E-07,1.1473E-02
-2.0824996E-07,1.1473E-02
-2.0799996E-07,-6.8527E-02
-2.0774996E-07,-6.8527E-02
-2.0749997E-07,-6.8527E-02
-2.0724995E-07,1.1473E-02
-2.0699996E-07,1.1473E-02
-2.0674996E-07,1.1473E-02
-2.0649996E-07,1.1473E-02
-2.0624996E-07,-6.8527E-02
-2.0599995E-07,-1.4853E-01
-2.0574996E-07,1.1473E-02
-2.0549996E-07,1.1473E-02
-2.0524996E-07,1.1473E-02
-2.0499996E-07,1.1473E-02
-2.0474997E-07,1.1473E-02
-2.0449995E-07,1.1473E-02
-2.0424996E-07,-6.8527E-02
-2.0399996E-07,1.1473E-02
-2.0374996E-07,1.1473E-02
-2.0349997E-07,-6.8527E-02
-2.0324995E-07,-6.8527E-02
-2.0299996E-07,-6.8527E-02
-2.0274996E-07,1.1473E-02
-2.0249996E-07,-6.8527E-02
-2.0224996E-07,1.1473E-02
-2.0199997E-07,1.1473E-02
-2.0174996E-07,1.1473E-02
-2.0149996E-07,1.1473E-02
-2.0124996E-07,-6.8527E-02
-2.0099996E-07,-6.8527E-02
-2.0074995E-07,1.1473E-02
-2.0049995E-07,9.1473E-02
-2.0024996E-07,1.1473E-02
-1.9999996E-07,-6.8527E-02
