Type;FSL-6;
Version;2.40;
Date;15.Oct 15;
Mode;ANALYZER;
Center Freq;515000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000000.000000;Hz
x-Axis;LIN;
Start;15000000.000000;Hz
Stop;1015000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.015000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
15000000;-67.523178100585938;-91.931533813476563
17000000;-64.63604736328125;-88.844406127929687
19000000;-64.366264343261719;-108.82462310791016
21000000;-67.560073852539063;-107.80051422119141
23000000;-58.775791168212891;-103.19739532470703
25000000;-58.764068603515625;-82.083572387695313
27000000;-61.786582946777344;-107.94107055664062
29000000;-58.703872680664063;-88.268280029296875
31000000;-55.655723571777344;-70.757011413574219
33000000;-55.549163818359375;-86.331817626953125
35000000;-62.741802215576172;-83.79022216796875
37000000;-63.036670684814453;-89.62860107421875
39000000;-63.379325866699219;-102.61840057373047
41000000;-63.719776153564453;-87.631851196289063
43000000;-66.512893676757812;-84.327850341796875
45000000;-63.798530578613281;-78.868202209472656
47000000;-66.043182373046875;-102.18039703369141
49000000;-68.297386169433594;-87.612922668457031
51000000;-67.464500427246094;-88.506309509277344
53000000;-65.711433410644531;-86.385635375976562
55000000;-66.673515319824219;-103.30406188964844
57000000;-67.637802124023438;-102.60014343261719
59000000;-67.276496887207031;-97.533470153808594
61000000;-68.815711975097656;-86.073387145996094
63000000;-57.571044921875;-92.351783752441406
65000000;-67.068954467773438;-82.168769836425781
67000000;-68.886817932128906;-85.249732971191406
69000000;-72.725791931152344;-95.335807800292969
71000000;-75.765586853027344;-99.929847717285156
73000000;-77.324653625488281;-115.06903839111328
75000000;-81.507705688476562;-115.97377014160156
77000000;-79.211326599121094;-105.19155120849609
79000000;-80.117515563964844;-112.54043579101562
81000000;-81.57733154296875;-111.07925415039062
83000000;-80.549934387207031;-106.15814208984375
85000000;-80.800323486328125;-112.01454162597656
87000000;-79.89422607421875;-107.79042816162109
89000000;-75.663497924804687;-111.91246032714844
91000000;-79.54290771484375;-113.34653472900391
93000000;-76.156929016113281;-98.455215454101563
95000000;-77.429267883300781;-112.63275146484375
97000000;-82.421043395996094;-105.34058380126953
99000000;-76.034675598144531;-107.03494262695312
101000000;-77.619003295898437;-109.65445709228516
103000000;-79.934295654296875;-114.71209716796875
105000000;-81.435714721679688;-115.49374389648437
107000000;-76.882652282714844;-110.02974700927734
109000000;-77.609893798828125;-105.39948272705078
111000000;-80.417037963867188;-106.47521209716797
113000000;-79.804710388183594;-126.79000854492188
115000000;-78.502769470214844;-117.71316528320312
117000000;-77.66400146484375;-91.510261535644531
119000000;-79.441856384277344;-101.39018249511719
121000000;-77.496597290039063;-105.70084381103516
123000000;-73.662567138671875;-116.74459075927734
125000000;-74.569923400878906;-104.13138580322266
127000000;-59.351116180419922;-101.0693359375
129000000;-69.622161865234375;-90.70440673828125
131000000;-69.756080627441406;-94.37176513671875
133000000;-72.071380615234375;-94.288787841796875
135000000;-77.430458068847656;-103.45334625244141
137000000;-73.705245971679688;-92.170860290527344
139000000;-75.467658996582031;-98.441604614257813
141000000;-74.035575866699219;-96.940414428710938
143000000;-70.447105407714844;-108.30619049072266
145000000;-68.816513061523438;-85.194869995117188
147000000;-72.089065551757813;-89.762847900390625
149000000;-70.45037841796875;-97.924575805664063
151000000;-71.84912109375;-108.9185791015625
153000000;-72.986854553222656;-103.33058166503906
155000000;-74.499549865722656;-114.56131744384766
157000000;-74.627098083496094;-102.06305694580078
159000000;-72.641639709472656;-91.668960571289063
161000000;-73.541900634765625;-105.04137420654297
163000000;-77.751358032226562;-106.10265350341797
165000000;-76.920928955078125;-125.02373504638672
167000000;-73.488563537597656;-107.93185424804687
169000000;-77.00030517578125;-112.22217559814453
171000000;-77.546195983886719;-108.86995697021484
173000000;-79.644851684570313;-105.60964202880859
175000000;-78.698249816894531;-109.82424163818359
177000000;-67.378524780273437;-97.488456726074219
179000000;-71.807075500488281;-102.57797241210937
181000000;-79.711715698242188;-119.65733337402344
183000000;-76.008064270019531;-117.91816711425781
185000000;-78.082466125488281;-100.72777557373047
187000000;-79.923789978027344;-115.52355194091797
189000000;-76.25323486328125;-105.61177062988281
191000000;-48.502216339111328;-108.40225982666016
193000000;-61.111488342285156;-103.02822113037109
195000000;-79.054733276367188;-103.39470672607422
197000000;-76.413467407226562;-113.92330932617187
199000000;-80.550132751464844;-102.41024017333984
201000000;-68.894851684570313;-102.21326446533203
203000000;-77.239456176757813;-117.09831237792969
205000000;-76.476242065429688;-98.528968811035156
207000000;-78.189224243164062;-106.77725219726562
209000000;-78.1729736328125;-108.42847442626953
211000000;-79.197052001953125;-110.6943359375
213000000;-79.701347351074219;-93.556434631347656
215000000;-71.856536865234375;-102.92445373535156
217000000;-69.653762817382813;-96.176589965820313
219000000;-66.359939575195313;-109.92501068115234
221000000;-68.4486083984375;-94.392082214355469
223000000;-67.011932373046875;-106.43113708496094
225000000;-72.221580505371094;-99.983978271484375
227000000;-67.557319641113281;-100.52722930908203
229000000;-69.111488342285156;-108.24028778076172
231000000;-72.7205810546875;-110.70685577392578
233000000;-73.035179138183594;-143.66934204101562
235000000;-78.366889953613281;-125.15439605712891
237000000;-78.161689758300781;-110.09861755371094
239000000;-79.727615356445313;-104.97410583496094
241000000;-82.439750671386719;-111.25570678710937
243000000;-80.284759521484375;-113.66638946533203
245000000;-78.762802124023438;-115.42642211914062
247000000;-78.572319030761719;-99.163444519042969
249000000;-76.331314086914063;-110.83488464355469
251000000;-80.552070617675781;-114.11235046386719
253000000;-79.0113525390625;-106.25908660888672
255000000;-67.133522033691406;-109.70091247558594
257000000;-71.496559143066406;-105.22226715087891
259000000;-78.460052490234375;-95.78167724609375
261000000;-79.3594970703125;-112.92418670654297
263000000;-79.151718139648438;-108.32866668701172
265000000;-78.163871765136719;-104.60508728027344
267000000;-79.225067138671875;-111.01643371582031
269000000;-80.577407836914063;-101.47732543945312
271000000;-78.7947998046875;-107.0887451171875
273000000;-77.950325012207031;-121.38819885253906
275000000;-77.56976318359375;-101.8582763671875
277000000;-78.641990661621094;-106.20219421386719
279000000;-80.178123474121094;-95.466888427734375
281000000;-81.422393798828125;-101.97454833984375
283000000;-83.450393676757813;-106.85297393798828
285000000;-78.584304809570313;-98.361541748046875
287000000;-79.595504760742187;-97.086967468261719
289000000;-77.59747314453125;-111.73416900634766
291000000;-78.531478881835938;-114.69293975830078
293000000;-79.69854736328125;-105.82361602783203
295000000;-80.426681518554688;-116.29334259033203
